name,icon,link
GitHub,github-alt,https://github.com/ctreffs
Gitlab,gitlab,https://gitlab.com/ctreffs
Stackoverflow,stack-overflow,https://stackoverflow.com/users/6043526/ctreffs
Twitter,twitter,https://twitter.com/ChrisDailyGrind
Instagram,instagram,https://www.instagram.com/chrisdailygrind
Facebook,facebook-square,https://www.facebook.com/christian.treffs
LinkedIn,linkedin,https://www.linkedin.com/in/ctreffs
Xing,xing,https://www.xing.com/profile/Christian_Treffs
Spotify,spotify,https://open.spotify.com/user/chrisdailygrind
Soundcloud,soundcloud,https://soundcloud.com/chrisdailygrind
Flickr,flickr,https://secure.flickr.com/photos/ctreffs/
Vimeo,vimeo,https://vimeo.com/chrisdailygrind
YouTube,youtube-play,https://www.youtube.com/user/ChrisDailyGrind
